"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ryan Flournoy","DAL","WR93","2.2","12.4","0.1","34.0","384.6","2.7","0.4","55.5"
"Dyami Brown","WAS","WR94","0.0","0.0","0.0","29.9","394.6","2.7","0.3","55.0"
"Tre' Harris","LAC","WR95","0.0","0.0","0.0","34.5","407.8","2.5","0.4","54.8"
"Ted Hurst III","TB","WR96","1.0","6.5","0.0","28.9","389.8","2.6","0.6","53.8"
"Mason Taylor","NYJ","TE34","0.0","0.0","0.0","44.5","390.8","2.4","0.1","53.2"
"Jahan Dotson","ATL","WR97","0.0","0.0","0.0","31.9","402.9","2.1","0.2","52.2"
"Ashton Dulin","IND","WR98","5.1","46.2","0.1","22.5","378.9","1.5","0.1","51.6"
"Chris Brooks","GB","RB65","72.7","323.2","1.3","15.4","107.6","0.3","0.6","51.5"
"Elic Ayomanor","TEN","WR99","0.0","0.0","0.0","23.9","323.0","3.2","0.0","51.5"
"Dawson Knox","BUF","TE35","0.0","0.0","0.0","28.7","328.7","2.9","0.1","50.3"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","377.3","2.1","0.1","50.1"
"Kimani Vidal","LAC","RB66","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
"Chimere Dike","TEN","WR100","10.1","33.6","0.3","26.1","252.9","3.3","0.6","48.7"
"Olamide Zaccheaus","ATL","WR101","1.5","9.5","0.0","37.2","352.9","2.1","0.2","48.7"
"Theo Johnson","NYG","TE37","0.0","0.0","0.0","27.7","315.4","2.9","0.1","48.7"
"Dontayvion Wicks","PHI","WR102","0.5","3.0","0.0","29.6","334.6","2.3","0.1","47.2"
"Van Jefferson","WAS","WR103","0.0","0.0","0.0","28.0","357.7","1.9","0.2","47.0"
"Xavier Hutchinson","HOU","WR104","2.1","14.2","0.0","26.4","320.6","2.1","0.1","45.9"
"KaVontae Turpin","DAL","WR105","17.7","102.4","0.4","18.3","230.4","1.7","0.4","45.4"
"Savion Williams","GB","WR106","9.0","47.0","0.3","23.9","272.0","2.0","0.3","45.1"
"Tyler Higbee","LAR","TE38","0.0","0.0","0.0","26.1","306.5","2.4","0.0","45.1"
"Xavier Legette","CAR","WR107","2.1","10.8","0.1","26.6","308.1","2.1","0.3","44.1"
"Pat Bryant","DEN","WR108","0.0","0.0","0.0","28.5","319.5","2.1","0.3","44.0"
"James Conner","ARI","RB67","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","RB68","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Joshua Palmer","BUF","WR109","0.0","0.0","0.0","25.9","337.3","1.6","0.1","43.3"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","328.0","2.0","0.6","43.3"
"Marvin Mims Jr.","DEN","WR110","8.2","45.0","0.3","24.2","272.4","1.6","0.4","42.5"
"Jaylen Wright","MIA","RB69","77.8","299.1","1.5","7.2","51.9","0.1","1.2","42.2"
"Jahdae Walker","CHI","WR111","0.5","3.5","0.0","18.7","243.8","2.8","0.0","41.6"
"Calvin Austin III","NYG","WR112","0.0","0.0","0.0","20.5","273.7","2.2","0.0","40.8"
"Cedric Tillman","CLE","WR113","0.0","-0.5","0.0","21.5","269.0","2.3","0.0","40.4"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","25.9","271.4","2.2","0.1","40.4"
"Jalen Tolbert","MIA","WR114","0.0","0.0","0.0","26.6","324.8","1.3","0.3","39.8"
"Keon Coleman","BUF","WR115","0.0","0.0","0.0","19.4","266.0","2.3","0.2","39.7"
"Elijah Sarratt","BAL","WR116","0.0","0.0","0.0","19.5","294.5","1.8","0.2","39.7"
"Jawhar Jordan","HOU","RB70","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"DeMario Douglas","NE","WR117","4.1","21.4","0.2","22.7","271.0","1.5","0.3","38.6"
"Jaylin Lane","WAS","WR118","0.0","0.0","0.0","22.8","281.0","1.8","0.2","38.4"
"Chris Brazzell II","CAR","WR119","0.0","0.0","0.0","22.5","287.9","1.7","0.2","38.3"
"Ja'Tavion Sanders","CAR","TE41","0.0","0.0","0.0","29.3","263.9","2.0","0.1","38.3"
"Emmett Johnson","KC","RB71","49.5","205.3","1.6","8.4","59.2","0.4","0.2","37.8"
"Kalif Raymond","CHI","WR120","4.6","27.2","0.2","26.7","264.8","1.3","0.3","37.1"
"Tommy Tremble","CAR","TE42","0.0","0.0","0.0","26.5","253.1","2.0","0.1","36.9"
"Kendre Miller","NO","RB72","52.4","209.8","2.1","4.0","28.5","0.0","0.0","36.7"
"MarShawn Lloyd","GB","RB73","50.6","211.5","1.5","6.5","48.6","0.3","0.2","36.6"
"Noah Fant","NO","TE43","0.0","0.0","0.0","30.4","285.3","1.7","1.6","35.3"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.5","250.7","1.9","0.6","35.2"
"Demarcus Robinson","SF","WR121","0.5","2.5","0.0","17.7","249.8","1.7","0.0","35.2"
